pipe_id,age,material,diameter,pressure,soil_type,previous_breaks,location_type,leak_reports,failure_risk
43,26,Steel,39,130,Sand,8,Rural,1,2
44,78,Cast Iron,15,106,Rock,0,Downtown,9,2
45,76,Concrete,37,95,Rock,9,Commercial,5,2
46,41,Steel,4,51,Loam,3,Rural,9,1
47,78,Cast Iron,36,79,Sand,10,Residential,0,2
48,80,Copper,39,93,Loam,2,Industrial,9,1
49,58,PVC,40,130,Clay,6,Residential,3,2
50,46,Cast Iron,20,99,Clay,3,Industrial,12,2
51,18,Steel,10,144,Loam,8,Rural,15,2
52,81,Concrete,36,54,Sand,8,Industrial,1,2
53,64,Steel,40,139,Loam,4,Industrial,9,2
54,90,PVC,8,142,Sand,0,Residential,11,1
55,95,Cast Iron,38,103,Clay,8,Rural,10,2
56,98,PVC,30,105,Clay,2,Rural,14,2
57,1,PVC,29,57,Sand,8,Industrial,8,2
58,74,PVC,36,84,Sand,6,Residential,13,2
59,47,Steel,33,92,Rock,1,Industrial,2,1
60,47,Steel,25,65,Sand,10,Rural,0,2
61,24,Concrete,18,138,Rock,0,Commercial,3,0
62,35,Copper,5,68,Sand,1,Industrial,8,1
63,43,PVC,28,67,Loam,4,Commercial,13,2
64,61,Steel,42,102,Sand,10,Residential,12,2
65,59,Concrete,13,68,Sand,0,Residential,4,0
66,17,PVC,43,136,Clay,1,Rural,9,1
67,16,Cast Iron,33,44,Sand,1,Residential,12,1
68,97,Steel,25,37,Clay,4,Commercial,2,1
69,91,Cast Iron,24,60,Sand,4,Residential,12,2
70,87,Steel,15,31,Rock,1,Rural,14,2
71,30,Copper,47,68,Clay,6,Industrial,1,1
72,38,Concrete,11,69,Loam,4,Rural,3,1
73,36,PVC,34,94,Sand,0,Downtown,9,1
74,74,Copper,38,78,Clay,6,Downtown,12,2
75,93,Concrete,11,67,Sand,7,Commercial,1,2
76,55,Cast Iron,22,100,Clay,3,Commercial,11,2
77,95,PVC,17,68,Clay,3,Downtown,8,2
78,100,Steel,42,79,Loam,0,Downtown,2,1
79,44,Cast Iron,42,88,Rock,4,Commercial,3,2
80,23,Concrete,23,39,Loam,8,Residential,4,2
81,70,Copper,32,55,Rock,3,Commercial,7,1
82,35,Copper,22,23,Rock,6,Residential,14,2
83,51,PVC,43,117,Clay,8,Industrial,7,2
84,9,Concrete,23,24,Rock,8,Downtown,5,2
85,58,PVC,27,109,Loam,9,Commercial,8,2
86,29,Copper,48,85,Rock,3,Industrial,0,1
87,33,Concrete,4,141,Clay,2,Industrial,10,2
88,16,Concrete,26,112,Loam,2,Industrial,2,1
89,75,Cast Iron,31,100,Loam,1,Downtown,14,2
90,89,PVC,47,120,Loam,8,Downtown,6,2
91,41,PVC,20,41,Clay,9,Residential,5,2
92,39,Copper,12,82,Loam,5,Downtown,4,1
93,14,Concrete,22,140,Clay,1,Industrial,13,2
94,51,Steel,5,68,Clay,4,Downtown,1,1
95,27,PVC,18,20,Rock,1,Residential,7,0
96,5,Concrete,17,143,Clay,9,Industrial,6,2
97,95,Concrete,28,78,Loam,0,Residential,9,1
98,61,Concrete,41,49,Loam,4,Downtown,5,1
99,53,PVC,5,143,Loam,3,Residential,6,1
100,10,PVC,16,64,Sand,3,Residential,0,0
101,54,PVC,18,51,Sand,3,Industrial,10,1
102,70,PVC,19,65,Rock,8,Rural,13,2
103,93,Copper,33,35,Clay,1,Commercial,14,2
104,42,PVC,12,39,Rock,8,Commercial,5,2
105,34,Cast Iron,5,41,Loam,3,Residential,3,1
106,47,Cast Iron,7,85,Rock,8,Downtown,0,2
107,74,PVC,40,37,Clay,1,Commercial,0,0
108,18,Steel,40,114,Clay,6,Industrial,3,2
109,58,Concrete,29,88,Clay,1,Industrial,7,1
110,61,Copper,26,47,Loam,1,Industrial,1,0
111,99,Steel,19,125,Rock,9,Industrial,9,2
112,67,Concrete,46,53,Sand,6,Commercial,7,2
113,44,Steel,4,36,Rock,6,Rural,14,2
114,27,Steel,45,128,Loam,1,Commercial,6,1
115,92,Concrete,14,30,Rock,7,Industrial,2,2
116,14,Steel,34,79,Sand,6,Industrial,13,2
117,91,Cast Iron,46,95,Clay,5,Industrial,15,2
118,13,Copper,4,32,Rock,7,Residential,12,2
119,16,Copper,26,41,Clay,9,Industrial,7,2
120,35,Cast Iron,42,23,Rock,10,Residential,6,2
121,91,Cast Iron,20,74,Clay,5,Residential,3,2
122,88,Copper,17,65,Clay,6,Commercial,4,2
123,14,PVC,46,129,Sand,0,Rural,14,1
124,92,Concrete,48,116,Sand,5,Downtown,4,2
125,87,Copper,34,124,Clay,2,Rural,4,1
126,40,PVC,14,144,Clay,7,Rural,9,2
127,84,Copper,31,132,Rock,4,Commercial,2,1
128,26,Cast Iron,38,149,Loam,1,Rural,5,1
129,87,Cast Iron,29,128,Rock,9,Residential,9,2
130,34,Concrete,21,132,Sand,8,Residential,10,2
131,92,Steel,22,104,Sand,2,Commercial,8,1
132,35,PVC,31,84,Clay,7,Rural,12,2
133,11,Copper,7,94,Rock,3,Residential,4,1
134,29,Cast Iron,37,101,Rock,6,Downtown,11,2
135,74,PVC,48,140,Clay,9,Residential,3,2
136,86,PVC,15,80,Sand,4,Downtown,1,1
137,87,Steel,15,109,Loam,8,Commercial,0,2
138,89,Copper,13,126,Loam,1,Commercial,11,1
139,40,Concrete,15,134,Rock,6,Commercial,7,2
140,74,Cast Iron,42,144,Clay,7,Residential,10,2
141,14,Cast Iron,29,54,Rock,5,Commercial,15,2
142,22,Concrete,23,57,Clay,2,Commercial,1,1
143,39,Concrete,8,135,Sand,1,Downtown,2,1
144,55,Concrete,29,86,Loam,8,Downtown,13,2
145,19,Concrete,39,86,Sand,1,Commercial,3,0
146,32,PVC,24,46,Sand,10,Rural,10,2
147,1,Steel,46,73,Sand,1,Industrial,2,0
148,87,Steel,17,143,Clay,1,Residential,4,1
149,88,PVC,36,79,Loam,7,Rural,10,2
150,41,Copper,25,52,Rock,5,Commercial,10,2
151,59,Concrete,23,56,Loam,3,Rural,8,1
152,71,Copper,17,111,Rock,1,Rural,8,1
153,2,Concrete,36,103,Loam,5,Downtown,8,2
154,82,Steel,32,125,Clay,10,Commercial,0,2
155,88,Cast Iron,17,107,Rock,10,Downtown,14,2
156,11,Steel,26,67,Loam,3,Commercial,10,1
157,15,Concrete,8,45,Loam,8,Rural,11,2
158,57,Concrete,24,31,Loam,10,Downtown,10,2
159,24,Copper,7,100,Sand,3,Commercial,13,1
160,49,PVC,26,43,Sand,1,Rural,14,1
161,57,Steel,33,34,Sand,10,Commercial,1,2
162,40,PVC,39,148,Loam,7,Rural,7,2
163,100,PVC,42,66,Sand,6,Downtown,2,2
164,37,Concrete,28,59,Sand,9,Downtown,5,2
165,50,Copper,44,40,Rock,3,Commercial,3,1
166,13,Concrete,23,48,Rock,1,Downtown,13,1
167,69,Copper,21,121,Clay,3,Industrial,10,2
168,59,Copper,42,134,Rock,2,Downtown,12,2
169,58,Concrete,8,40,Clay,0,Rural,8,1
170,18,Copper,24,123,Clay,3,Residential,3,1
171,44,Steel,48,80,Sand,9,Industrial,13,2
172,43,Cast Iron,38,127,Clay,6,Residential,5,2
173,17,Steel,32,105,Sand,8,Commercial,7,2
174,54,Copper,22,107,Rock,9,Rural,3,2
175,61,Steel,16,144,Rock,6,Commercial,4,2
176,24,Steel,15,112,Clay,3,Commercial,14,2
177,80,Steel,39,46,Rock,6,Industrial,10,2
178,71,Concrete,32,22,Clay,7,Commercial,2,2
179,36,PVC,28,63,Rock,1,Commercial,10,1
180,64,Steel,45,119,Clay,7,Rural,14,2
181,42,Cast Iron,4,50,Rock,3,Commercial,14,2
182,19,Copper,18,32,Rock,3,Industrial,8,1
183,94,Concrete,35,32,Loam,8,Residential,15,2
184,51,PVC,15,82,Clay,3,Rural,9,1
185,8,PVC,46,150,Clay,5,Downtown,10,2
186,75,PVC,26,40,Sand,2,Downtown,10,1
187,60,Copper,25,40,Loam,1,Rural,10,1
188,34,PVC,5,23,Rock,8,Residential,15,2
189,57,Copper,34,85,Rock,8,Commercial,7,2
190,71,PVC,29,136,Rock,8,Industrial,9,2
191,7,Steel,39,112,Loam,4,Rural,5,1
192,43,Copper,34,115,Loam,8,Residential,9,2
193,69,PVC,41,56,Clay,6,Rural,3,2
194,53,Concrete,31,129,Clay,3,Commercial,2,1
195,16,PVC,47,24,Sand,1,Rural,4,0
196,39,Cast Iron,18,26,Rock,1,Industrial,3,1
197,35,PVC,17,113,Clay,3,Rural,2,1
198,71,Steel,16,66,Rock,0,Commercial,0,0
199,3,Steel,34,141,Clay,5,Downtown,5,2
200,86,Steel,44,131,Rock,0,Commercial,15,2
201,13,PVC,47,99,Clay,5,Industrial,7,2
202,72,Cast Iron,30,94,Clay,5,Industrial,12,2
203,43,Concrete,40,55,Rock,5,Commercial,10,2
204,57,Cast Iron,7,146,Sand,10,Rural,10,2
205,87,Copper,19,74,Sand,5,Residential,1,1
206,3,Cast Iron,31,141,Sand,8,Commercial,1,2
207,49,Steel,11,47,Sand,0,Rural,1,0
208,83,Concrete,34,69,Rock,2,Residential,5,1
209,26,Concrete,28,62,Sand,9,Downtown,7,2
210,10,Steel,41,87,Rock,7,Rural,3,2
211,20,PVC,46,141,Sand,9,Rural,10,2
212,100,Concrete,6,59,Sand,3,Commercial,5,1
213,86,Cast Iron,16,88,Sand,1,Rural,13,2
214,12,Steel,47,46,Loam,5,Rural,9,2
215,35,Cast Iron,36,24,Rock,7,Downtown,8,2
216,31,PVC,22,73,Sand,10,Residential,7,2
217,72,Steel,47,26,Sand,5,Rural,4,1
218,76,Copper,48,84,Loam,6,Commercial,9,2
219,86,Cast Iron,43,103,Clay,0,Rural,6,1
220,9,Copper,41,124,Rock,1,Rural,0,0
221,41,Steel,26,119,Clay,0,Residential,8,1
222,58,Steel,46,57,Loam,5,Residential,13,2
223,58,Steel,33,36,Rock,0,Rural,2,0
224,41,Cast Iron,21,60,Loam,8,Rural,0,2
225,97,Copper,41,66,Rock,1,Downtown,2,1
226,95,Copper,5,95,Loam,5,Downtown,8,2
227,17,Copper,33,128,Clay,9,Rural,12,2
228,50,Steel,5,118,Sand,7,Rural,4,2
229,74,Cast Iron,34,39,Clay,0,Commercial,8,1
230,72,Concrete,38,107,Sand,8,Commercial,2,2
231,27,Steel,26,51,Sand,6,Industrial,11,2
232,88,Copper,47,81,Loam,1,Industrial,15,2
233,71,PVC,38,107,Loam,10,Rural,11,2
234,76,Concrete,8,73,Loam,5,Industrial,3,2
235,54,PVC,16,104,Clay,8,Industrial,9,2
236,76,Cast Iron,8,24,Rock,6,Residential,14,2
237,10,Copper,30,38,Sand,10,Downtown,13,2
238,98,Copper,43,123,Clay,8,Industrial,7,2
239,2,Cast Iron,15,89,Loam,1,Downtown,12,2
240,91,Cast Iron,47,126,Clay,2,Industrial,11,2
241,12,Cast Iron,8,48,Loam,4,Commercial,6,1
242,8,Cast Iron,19,103,Sand,9,Rural,12,2
243,65,PVC,43,118,Sand,4,Downtown,11,2
244,54,Concrete,16,145,Rock,0,Commercial,10,1
245,93,PVC,30,29,Rock,10,Residential,5,2
246,55,Concrete,37,108,Loam,0,Commercial,5,0
247,17,Cast Iron,5,144,Sand,0,Residential,7,1
248,13,Concrete,5,56,Clay,1,Residential,10,1
249,36,Steel,6,143,Loam,4,Downtown,9,2
250,98,PVC,46,91,Sand,9,Rural,4,2
251,7,Cast Iron,10,92,Loam,9,Industrial,4,2
252,66,Cast Iron,46,116,Clay,8,Downtown,9,2
253,77,PVC,47,115,Loam,6,Rural,1,1
254,62,Cast Iron,29,93,Loam,4,Commercial,9,2
255,33,Cast Iron,32,111,Clay,3,Residential,6,2
256,41,Concrete,47,135,Loam,10,Commercial,3,2
257,70,Cast Iron,23,44,Clay,4,Rural,10,2
258,56,Copper,45,110,Clay,9,Commercial,13,2
259,68,Cast Iron,8,135,Rock,7,Industrial,0,2
260,58,Concrete,25,95,Loam,6,Residential,3,2
261,29,Steel,36,147,Rock,1,Industrial,6,1
262,36,Steel,5,92,Sand,4,Industrial,1,1
263,50,Copper,16,64,Loam,1,Commercial,10,1
264,14,Cast Iron,9,41,Loam,6,Industrial,3,2
265,34,PVC,46,71,Sand,6,Residential,6,2
266,75,Concrete,35,71,Clay,9,Downtown,11,2
267,95,Cast Iron,21,83,Loam,10,Industrial,9,2
268,5,Cast Iron,13,62,Rock,10,Rural,5,2
269,13,Cast Iron,38,40,Rock,10,Industrial,0,2
270,2,Copper,39,79,Sand,8,Industrial,5,2
271,30,PVC,17,110,Loam,4,Rural,6,1
272,20,PVC,42,78,Loam,0,Downtown,4,0
273,76,Steel,17,105,Loam,3,Industrial,11,2
274,79,PVC,30,103,Clay,9,Downtown,14,2
275,47,Copper,34,149,Sand,9,Commercial,10,2
276,8,PVC,4,36,Sand,8,Commercial,0,1
277,26,Concrete,37,45,Sand,4,Commercial,1,1
278,4,Cast Iron,5,93,Rock,0,Rural,15,1
279,27,Cast Iron,29,121,Loam,10,Residential,0,2
280,94,Copper,26,109,Rock,6,Commercial,5,2
281,94,Copper,11,47,Clay,2,Rural,1,1
282,54,Concrete,7,117,Rock,7,Commercial,4,2
283,72,PVC,16,56,Clay,7,Commercial,3,2
284,27,Concrete,20,65,Rock,7,Commercial,12,2
285,42,PVC,15,106,Clay,4,Rural,8,2
286,69,Cast Iron,22,77,Loam,4,Residential,14,2
287,97,Concrete,45,114,Rock,5,Commercial,1,2
288,84,PVC,7,123,Clay,7,Residential,13,2
289,22,PVC,37,106,Loam,3,Industrial,3,1
290,84,PVC,8,113,Clay,3,Downtown,2,1
291,4,Concrete,34,110,Rock,9,Downtown,6,2
292,51,Cast Iron,39,27,Clay,8,Residential,2,2
293,50,PVC,42,49,Clay,10,Residential,6,2
294,33,Steel,25,53,Clay,9,Residential,1,2
295,20,PVC,25,95,Clay,10,Residential,5,2
296,20,Cast Iron,41,62,Loam,6,Downtown,14,2
297,42,Concrete,22,99,Sand,3,Residential,7,1
298,43,Copper,45,107,Loam,7,Downtown,4,2
299,62,Copper,48,143,Sand,7,Rural,7,2
300,26,Copper,36,124,Loam,3,Industrial,1,1
301,14,Cast Iron,36,150,Rock,0,Downtown,9,1
302,45,Copper,26,94,Clay,5,Downtown,8,2
303,62,Concrete,23,58,Rock,8,Residential,15,2
304,65,Concrete,25,89,Loam,8,Rural,5,2
305,26,Concrete,27,77,Clay,9,Residential,0,2
306,58,Cast Iron,15,101,Sand,10,Residential,8,2
307,56,Copper,40,107,Loam,8,Downtown,14,2
308,16,Steel,4,130,Rock,9,Commercial,8,2
309,11,Copper,8,27,Sand,9,Downtown,11,2
310,1,Cast Iron,34,89,Loam,1,Residential,6,1
311,24,Concrete,27,127,Rock,9,Downtown,2,2
312,41,Cast Iron,37,136,Sand,2,Rural,11,2
313,49,Concrete,33,48,Sand,1,Rural,0,0
314,39,Copper,19,36,Clay,0,Commercial,12,1
315,37,Cast Iron,48,114,Sand,4,Residential,13,2
316,2,Steel,35,97,Rock,2,Downtown,3,1
317,47,Concrete,35,113,Loam,9,Residential,4,2
318,47,PVC,9,20,Clay,7,Commercial,11,2
319,67,PVC,40,84,Rock,3,Residential,12,2
320,99,Steel,35,124,Rock,10,Downtown,6,2
321,80,Cast Iron,21,52,Sand,10,Downtown,2,2
322,30,Steel,44,82,Loam,2,Industrial,14,2
323,19,Copper,16,56,Rock,7,Industrial,3,2
324,29,Copper,31,93,Rock,7,Commercial,13,2
325,36,Cast Iron,15,96,Clay,4,Industrial,13,2
326,66,Copper,21,72,Clay,4,Industrial,12,2
327,5,Steel,27,121,Rock,2,Industrial,8,1
328,11,Steel,47,108,Rock,5,Rural,11,2
329,89,Copper,9,63,Rock,10,Rural,14,2
330,19,Steel,12,78,Sand,6,Industrial,15,2
331,90,Steel,45,56,Sand,2,Commercial,0,1
332,71,Concrete,21,103,Rock,3,Rural,12,2
333,30,Cast Iron,48,70,Clay,5,Commercial,10,2
334,62,Concrete,34,89,Clay,8,Residential,1,2
335,54,Cast Iron,16,74,Rock,4,Industrial,0,1
336,97,Copper,29,72,Clay,7,Residential,9,2
337,82,Concrete,24,75,Rock,9,Residential,7,2
338,44,Cast Iron,45,35,Loam,9,Commercial,7,2
339,92,PVC,41,104,Loam,8,Industrial,13,2
340,55,Cast Iron,15,23,Clay,10,Rural,12,2
341,53,Copper,13,41,Sand,2,Downtown,8,1
342,6,PVC,4,92,Loam,1,Downtown,4,0
343,61,Copper,11,131,Loam,2,Residential,12,1
344,55,Cast Iron,9,135,Clay,10,Downtown,4,2
345,82,Copper,38,133,Rock,10,Downtown,0,2
346,14,Copper,7,103,Sand,4,Rural,4,1
347,13,Cast Iron,9,56,Rock,8,Rural,2,2
348,14,Copper,31,128,Loam,1,Industrial,11,1
349,21,PVC,44,150,Sand,5,Rural,8,2
350,3,Copper,18,126,Loam,0,Rural,11,1
351,59,PVC,18,84,Sand,2,Industrial,4,1
352,16,Copper,8,83,Sand,6,Rural,11,2
353,79,Concrete,12,102,Rock,7,Downtown,13,2
354,92,Concrete,42,128,Rock,10,Downtown,8,2
355,25,Copper,34,114,Rock,10,Residential,8,2
356,23,PVC,27,73,Loam,9,Industrial,15,2
357,48,Concrete,34,71,Rock,5,Residential,12,2
358,66,Concrete,16,29,Loam,3,Industrial,4,1
359,86,PVC,40,28,Rock,5,Downtown,15,2
360,13,Concrete,17,112,Rock,4,Residential,2,1
361,77,Cast Iron,30,115,Rock,0,Commercial,13,2
362,80,Concrete,13,26,Sand,2,Commercial,10,1
363,82,Cast Iron,22,28,Clay,1,Industrial,9,2
364,53,Cast Iron,7,29,Clay,5,Industrial,8,2
365,19,PVC,32,24,Loam,9,Commercial,8,2
366,35,Steel,46,143,Loam,4,Downtown,13,2
367,40,Copper,34,73,Clay,9,Industrial,8,2
368,90,PVC,17,78,Sand,6,Commercial,5,2
369,83,Copper,15,98,Loam,3,Rural,1,1
370,35,Concrete,16,64,Sand,2,Rural,5,1
371,78,PVC,48,24,Clay,9,Residential,6,2
372,74,PVC,43,115,Rock,10,Residential,2,2
373,61,Copper,34,101,Sand,4,Industrial,8,2
374,46,Steel,20,89,Rock,5,Downtown,10,2
375,38,Copper,11,77,Sand,10,Commercial,11,2
376,18,Steel,29,62,Rock,10,Downtown,12,2
377,34,Concrete,40,81,Sand,2,Downtown,0,0
378,42,Cast Iron,26,68,Sand,10,Commercial,5,2
379,31,PVC,17,25,Rock,3,Downtown,7,1
380,44,Cast Iron,15,54,Loam,2,Rural,9,1
381,95,Steel,45,48,Loam,0,Industrial,4,1
382,43,Steel,43,133,Sand,4,Downtown,12,2
383,32,Cast Iron,34,121,Clay,6,Downtown,14,2
384,41,Copper,7,37,Sand,8,Residential,14,2
385,18,Concrete,37,55,Sand,9,Residential,5,2
386,41,Copper,26,138,Clay,0,Downtown,13,1
387,78,Copper,34,30,Rock,2,Commercial,14,2
388,85,Cast Iron,9,90,Loam,2,Residential,2,1
389,67,Concrete,45,53,Loam,6,Commercial,11,2
390,29,Cast Iron,26,68,Sand,1,Industrial,9,1
391,100,Concrete,18,74,Clay,1,Rural,1,1
392,34,Concrete,5,127,Sand,0,Downtown,7,1
393,56,Cast Iron,42,89,Rock,4,Residential,1,1
394,33,Concrete,17,95,Loam,8,Industrial,11,2
395,31,Cast Iron,37,53,Rock,0,Rural,0,0
396,73,Steel,39,148,Rock,7,Rural,3,2
397,69,PVC,18,145,Clay,4,Commercial,2,1
398,64,Cast Iron,35,119,Clay,9,Downtown,13,2
399,94,Copper,32,64,Rock,7,Residential,2,2
400,42,PVC,21,83,Clay,0,Downtown,11,1
401,42,Copper,24,129,Clay,7,Downtown,0,2
402,1,Concrete,5,56,Loam,9,Downtown,10,2
403,54,Cast Iron,36,147,Clay,8,Residential,15,2
404,80,PVC,34,31,Rock,9,Residential,11,2
405,66,Copper,16,100,Loam,6,Residential,12,2
406,89,Cast Iron,29,78,Clay,6,Industrial,2,2
407,67,Cast Iron,30,140,Sand,4,Rural,15,2
408,34,Copper,18,66,Loam,3,Downtown,14,2
409,12,Steel,11,49,Sand,8,Industrial,13,2
410,63,Cast Iron,43,21,Sand,0,Downtown,12,1
411,47,PVC,5,114,Loam,2,Rural,7,1
412,34,Steel,29,113,Rock,9,Rural,8,2
413,69,PVC,9,69,Loam,2,Residential,14,1
414,78,Copper,21,73,Clay,3,Commercial,9,2
415,35,Copper,32,140,Clay,0,Rural,9,1
416,57,Copper,29,77,Rock,0,Commercial,7,1
417,74,PVC,12,29,Loam,2,Residential,10,1
418,52,Steel,23,61,Sand,2,Industrial,15,2
419,22,PVC,4,31,Clay,10,Commercial,4,2
420,32,Cast Iron,18,126,Rock,7,Commercial,8,2
421,24,Concrete,14,51,Clay,4,Rural,10,2
422,44,Steel,5,39,Clay,2,Commercial,1,1
423,40,Copper,9,71,Rock,3,Downtown,8,1
424,63,Concrete,23,54,Rock,2,Residential,7,1
425,33,Copper,9,122,Rock,0,Rural,7,1
426,57,Concrete,7,133,Rock,3,Residential,15,2
427,38,Concrete,31,41,Rock,2,Commercial,3,1
428,13,Concrete,17,24,Clay,5,Industrial,8,2
429,24,Steel,46,127,Loam,8,Downtown,14,2
430,12,Concrete,45,131,Rock,0,Downtown,9,1
431,6,Steel,5,140,Rock,5,Downtown,9,2
432,23,Concrete,15,49,Clay,5,Industrial,5,2
433,40,PVC,11,121,Clay,6,Downtown,6,2
434,35,Steel,7,114,Rock,4,Industrial,14,2
435,46,Cast Iron,21,104,Clay,7,Rural,8,2
436,6,Cast Iron,18,94,Rock,0,Commercial,3,0
437,92,Steel,21,120,Rock,2,Residential,8,2
438,47,Copper,13,73,Loam,1,Commercial,15,1
439,33,Copper,31,114,Sand,0,Commercial,1,0
440,36,Steel,45,46,Clay,8,Downtown,15,2
441,63,Steel,8,73,Clay,0,Rural,4,1
442,42,PVC,13,92,Loam,6,Residential,5,2
443,17,Steel,28,33,Rock,5,Commercial,6,2
444,10,Steel,4,25,Rock,10,Residential,3,2
445,13,Steel,29,100,Rock,0,Residential,0,0
446,28,Steel,29,112,Loam,4,Downtown,14,2
447,60,PVC,7,25,Sand,5,Commercial,5,1
448,80,Steel,41,40,Sand,4,Commercial,6,2
449,49,Concrete,17,108,Rock,7,Residential,3,2
450,86,Concrete,43,46,Sand,8,Residential,14,2
451,90,Cast Iron,26,102,Loam,7,Industrial,9,2
452,91,Concrete,4,137,Sand,0,Rural,1,0
453,5,Copper,30,65,Sand,4,Commercial,6,1
454,40,Cast Iron,48,139,Rock,5,Commercial,7,2
455,44,Cast Iron,12,47,Loam,8,Rural,11,2
456,53,Concrete,15,22,Loam,3,Downtown,4,1
457,55,Concrete,46,130,Clay,1,Industrial,4,1
458,56,Concrete,25,40,Loam,7,Commercial,3,2
459,71,Cast Iron,29,148,Loam,7,Industrial,9,2
460,10,Cast Iron,46,114,Sand,1,Residential,12,1
461,5,Copper,26,144,Clay,10,Rural,7,2
462,19,PVC,5,61,Sand,3,Rural,10,1
463,23,Cast Iron,20,116,Rock,5,Downtown,12,2
464,15,Copper,17,125,Clay,9,Residential,13,2
465,31,Steel,21,107,Loam,7,Residential,13,2
466,41,Steel,21,86,Sand,0,Rural,4,0
467,75,Copper,41,145,Rock,6,Industrial,14,2
468,49,Steel,6,136,Loam,4,Rural,6,2
469,60,PVC,10,51,Clay,3,Rural,4,1
470,94,Concrete,47,33,Rock,2,Rural,15,2
471,36,Cast Iron,42,102,Clay,9,Industrial,13,2
472,23,PVC,19,53,Clay,7,Commercial,4,2
473,27,Concrete,33,77,Loam,6,Downtown,9,2
474,66,PVC,14,65,Clay,10,Residential,15,2
475,45,Cast Iron,35,32,Sand,4,Residential,13,2
476,2,Copper,7,121,Clay,6,Residential,12,2
477,7,Concrete,19,71,Rock,1,Rural,7,1
478,86,Cast Iron,7,61,Loam,9,Residential,5,2
479,67,Cast Iron,45,36,Loam,9,Residential,0,2
480,10,Copper,43,94,Clay,2,Commercial,7,1
481,42,PVC,11,59,Clay,7,Commercial,1,2
482,92,Concrete,17,94,Rock,9,Industrial,13,2
483,43,Steel,7,71,Clay,6,Rural,4,2
484,76,PVC,29,61,Loam,8,Rural,3,2
485,91,Cast Iron,28,64,Rock,9,Residential,9,2
486,41,PVC,7,46,Clay,10,Downtown,10,2
487,26,PVC,6,133,Loam,8,Residential,9,2
488,96,Cast Iron,16,133,Sand,10,Residential,11,2
489,3,Copper,20,27,Sand,2,Residential,14,1
490,50,Cast Iron,34,57,Clay,3,Downtown,11,2
491,1,Copper,26,30,Loam,0,Commercial,13,0
492,15,Cast Iron,35,32,Sand,5,Industrial,13,2
493,72,Concrete,46,133,Sand,3,Downtown,5,2
494,66,Copper,7,50,Clay,8,Residential,6,2
495,89,PVC,44,32,Clay,4,Residential,5,1
496,30,Copper,8,124,Loam,4,Industrial,9,2
497,71,Concrete,46,106,Rock,1,Rural,6,1
498,6,Steel,25,63,Rock,9,Downtown,8,2
499,23,Concrete,33,138,Clay,0,Commercial,15,2
500,80,Concrete,16,21,Clay,4,Industrial,6,2
501,27,Cast Iron,46,149,Loam,8,Rural,2,2
502,22,Concrete,21,116,Sand,6,Industrial,14,2
503,72,Concrete,5,113,Sand,9,Residential,11,2
504,50,Copper,15,100,Rock,3,Rural,9,1
505,82,Copper,20,105,Rock,6,Rural,2,2
506,18,PVC,30,143,Rock,5,Commercial,6,2
507,30,Copper,33,23,Clay,6,Commercial,10,2
